Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
"Voyager Technologies, Inc.",VOYG,Other,6/11/2025,12.4,$31.00,$57.13,$44.70,44.19%,S/O
707 Cayman Holdings Ltd.,JEM,Consumer Goods,6/9/2025,2.5,$4.00,$3.85,$6.27,56.75%,S/O
Omada Health,OMDA,Health Care,6/6/2025,7.9,$19.00,$23.00,$15.20,-0.20%,S/O
Circle Internet Corp.,CRCL,Financials,6/5/2025,34.0,$31.00,$83.23,$240.28,675.10%,S/O
Pitanium Ltd.,PTNM,Consumer Goods,5/30/2025,1.8,$4.00,$3.80,$3.80,-0.50%,S/O
Jena Acquisition Corp. II,JENA.U,Blank Check,5/29/2025,20.0,$10.00,$0.00,$0.00,0.00%,S/O
Fast Track Group (New IPO Filing),FTRK,Other,5/23/2025,3.8,$4.00,$0.00,$0.00,0.00%,S/O
"Hinge Health, Inc.",HNGE,Health Care,5/22/2025,13.7,$32.00,$37.56,$37.56,17.38%,S/O
"MNTN, Inc.",MNTN,Consumer Services,5/22/2025,11.7,$16.00,$26.36,$26.36,64.75%,S/O
OFA Group,OFAL,Other,5/21/2025,3.8,$4.00,$0.00,$0.00,0.00%,S/O
Arrive AI (NASDAQ Direct Listing),ARAI,Other,5/15/2025,30.0,$13.00,$0.00,$0.00,0.00%,S/O
Antalpha Platform Holding Ltd.,ANTA,Financials,5/14/2025,3.9,$12.80,$16.38,$16.38,27.97%,S/O
eToro Group Ltd.,ETOR,Financials,5/14/2025,11.9,$52.00,$67.00,$67.00,28.85%,S/O
"OMS Energy Technologies, Inc.",OMSE,Oil & Gas,5/13/2025,3.7,$9.00,$7.51,$7.51,-16.56%,S/O
Apimeds Pharmaceuticals US,APUS,Health Care,5/9/2025,3.4,$4.00,$2.20,$2.20,-45.00%,S/O
"American Integrity Insurance Group, Inc.",AII,Financials,5/8/2025,6.9,$16.00,$16.90,$16.90,5.62%,S/O
Aspen Insurance Holdings Ltd.,AHL,Financials,5/8/2025,13.3,$30.00,$32.50,$32.50,8.33%,S/O
Cantor Equity Partners II (Stock-Only SPAC),CEPT,Blank Check,5/2/2025,24.0,$10.00,$11.08,$11.08,10.80%,S/O
Smart Digital Group Limited,SDM,Consumer Services,5/2/2025,1.5,$4.00,$6.11,$6.11,52.75%,S/O
Yuanbao Inc.,YB,Financials,4/30/2025,2.0,$15.00,$0.00,$0.00,0.00%,S/O
Phoenix Asia Holdings Ltd.,PHOE,Other,4/25/2025,1.6,$4.00,$0.00,$0.00,0.00%,S/O
Concorde International Group,CIGL,Other,4/22/2025,1.3,$4.00,$4.21,$4.21,5.25%,S/O
Pinnacle Food Group Ltd.,PFAI,Consumer Goods,4/22/2025,1.8,$4.00,$3.35,$3.35,-16.25%,S/O
TMD Energy Ltd.,TMDE,Oil & Gas,4/21/2025,3.1,$3.25,$3.63,$3.63,11.69%,S/O
Chagee Holdings Ltd.,CHA,Consumer Goods,4/17/2025,14.7,$28.00,$32.44,$32.44,15.86%,S/O
Everbright Digital Holdings Ltd.,EDHL,Consumer Services,4/17/2025,1.5,$4.00,$4.20,$4.20,5.00%,S/O
Haoxin Holdings Ltd,HXHX,Industrials,4/15/2025,1.8,$4.00,$3.11,$3.11,-22.25%,S/O
"Aether Holdings, Inc.",ATHR,Technology,4/10/2025,1.8,$4.30,$5.75,$5.75,33.72%,S/O
Cuprina Holdings (Cayman) Ltd. (New Filing),CUPR,Health Care,4/10/2025,3.0,$4.00,$4.15,$4.15,3.75%,S/O
iOThree Ltd.,IOTR,Technology,4/10/2025,2.1,$4.00,$3.55,$3.55,-11.25%,S/O
MasterBeef Group,MB,Consumer Services,4/10/2025,2.0,$4.00,$4.10,$4.10,2.50%,S/O
Tianci International (NASDAQ Uplisting),CIIT,Other,4/10/2025,1.8,$4.00,$2.60,$2.60,-35.00%,S/O
FatPipe,FATN,Technology,4/8/2025,0.7,$5.75,$13.00,$13.00,126.09%,S/O
Ruanyun Edai Technology Inc.,RYET,Technology,4/8/2025,3.8,$4.00,$4.51,$4.51,12.75%,S/O
BeLive Holdings,BLIV,Technology,4/4/2025,2.5,$4.00,$3.54,$3.54,-11.50%,S/O
Lianhe Sowell International Group,LHSW,Industrials,4/3/2025,2.0,$4.00,$4.29,$4.29,7.25%,S/O
"SmartStop Self Storage REIT, Inc.",SMA,Financials,4/2/2025,27.0,$30.00,$32.75,$32.75,9.17%,S/O
Top Win International Ltd.,TOPW,Consumer Goods,4/2/2025,2.7,$4.00,$3.83,$3.83,-4.25%,S/O
Energys Group Ltd.,ENGS,Industrials,4/1/2025,2.3,$4.50,$4.95,$4.95,10.00%,S/O
Waton Financial Ltd.,WTF,Financials,4/1/2025,4.4,$4.00,$19.85,$19.85,396.25%,S/O
WF International (China),WXM,Industrials,4/1/2025,1.4,$4.00,$4.25,$4.25,7.25%,S/O
"CoreWeave, Inc.",CRWV,Technology,3/28/2025,37.5,$40.00,$40.00,$52.57,31.43%,S/O
Intercont (Cayman) Limited,NCT,Other,3/28/2025,1.5,$7.00,$6.85,$6.85,-2.14%,S/O
