File Date,Company,Symbol,Managers,Shares (millions),Price Low,Price High,Est $ Vol (millions),Expected To Trade,SCOOP Rating
2026-02-06,Cambridge Acquisition,CAQU,BTIG,20.0,$10.00,$10.00,$200.00,Priced,S/O
2026-02-06,Feline Culture Holdings Limited,TBA,Kingswood Capital Markets,4.25,$4.00,$4.50,$18.06,TBA,S/O
2026-02-05,AgomAb Therapeutics,AGMB,J.P. Morgan/Morgan Stanley/Leerink Partners/Van Lanschot Kempen,12.5,$16.00,$16.00,$200.00,Priced,S/O
2026-02-05,"Bob’s Discount Furniture, Inc.",BOBS,J.P. Morgan/Morgan Stanley/RBC Capital Markets/UBS Investment Bank/BofA Securities/Evercore ISI/Goldman Sachs,19.45,$17.00,$17.00,$330.65,Priced,S/O
2026-02-05,"Once Upon a Farm, PBC",OFRM,Goldman Sachs/J.P. Morgan/BofA Securities/William Blair/Barclays/Evercore ISI/Deutsche Bank Securities/Oppenheimer & Co./TD Cowen,10.99,$18.00,$18.00,$197.95,Priced,S/O
2026-02-05,"SpyGlass Pharma, Inc.",SGP,Jefferies/Leerink Partners/Citigroup/Stifel,9.38,$16.00,$16.00,$150.00,Priced,S/O
2026-02-04,Apeiron Acquisition Vehicle I,APNU,Berenberg,7.0,$10.00,$10.00,$70.00,TBA,S/O
2026-02-04,Cantor Equity Partners VI (Stock-Only SPAC),CEPS,Cantor,10.0,$10.00,$10.00,$100.00,Priced,S/O
2026-02-04,Colombier Acquisition Corp. III,CLBR U,Roth Capital Partners,26.0,$10.00,$10.00,$260.00,Priced,S/O
2026-02-04,Eikon Therapeutics,EIKN,J.P.Morgan/Morgan Stanley/BofA Securities/Cantor/Mizuho,21.18,$18.00,$18.00,$381.24,Priced,S/O
2026-02-04,"Forgent Power Solutions, Inc.",FPS,Goldman Sachs/Jefferies/Morgan Stanley/J.P. Morgan/BofA Securities/Barclays/TD Cowen/MUFG/Wolfe/Nomura Alliance/KeyBanc Capital Markets/Oppenheimer & Co.,56.0,$27.00,$27.00,$1512.00,Priced,S/O
2026-02-04,Hennessy Capital Investment Corp. VIII,HCICU,Barclays/Cohen & Company Securities,17.5,$10.00,$10.00,$175.00,Priced,S/O
2026-02-03,"Veradermics, Inc.",MANE,Jefferies/Leerink Partners/Citigroup/Cantor,15.08,$17.00,$17.00,$256.36,Priced,S/O
2026-02-02,Iris Acquisition Corp. II,IRABU,Cohen & Company Capital Markets,15.0,$10.00,$10.00,$150.00,Priced,S/O
2026-02-02,MOZAYYX Acquisition Corp.,MZYX,Cantor,25.0,$10.00,$10.00,$250.00,TBA,S/O
2026-02-02,White Pearl Acquisition,WPAC.U,D. Boral Capital (ex-EF Hutton),10.0,$10.00,$10.00,$100.00,Priced,S/O
