variant,n,win_rate,avg_return,median_return,avg_hold_days,median_hold_days,net_income,net_thousands,usd_per_trade,profit_factor,peak_tickets,peak_capital,exit_rsi_pct,exit_stop_pct,exit_time_pct,exit_eod_pct
homework_growth_future_30d,5206,0.5512869765655013,0.012640336075197656,0.006328955016364102,30.0,30.0,65805.58960747934,65.80558960747935,12.640336075197721,,,,,,1.0,0.0
hold_21d,5206,0.5989243180945063,0.04105560320932744,0.02407834811735965,21.0,21.0,213735.47030775872,213.73547030775873,41.05560320932745,2.40238678185753,255.0,255000.0,0.0,0.0,1.0,0.0
hold_30d,5200,0.6,0.05173284866668659,0.031781665641952506,30.0,30.0,269010.81306676974,269.01081306676974,51.732848666686486,2.5656991392493818,266.0,266000.0,0.0,0.0,1.0,0.0
rsi_50,5206,0.7550902804456396,0.14910666582521226,0.048304141696354996,26.528620822128314,17.0,776249.3022860555,776.2493022860555,149.10666582521236,8.030503688237413,306.0,306000.0,1.0,0.0,0.0,0.0
rsi_40,5206,0.7658470995005763,0.1370830422385465,0.032707025889112895,16.491740299654246,8.0,713654.3178938737,713.6543178938737,137.08304223854662,9.752703296127967,288.0,288000.0,1.0,0.0,0.0,0.0
rsi_50_or_30d,5206,0.6915097963887822,0.045028873593990104,0.0404444878185366,18.18171340760661,17.0,234420.3159303121,234.42031593031209,45.02887359399003,2.789844039967458,255.0,255000.0,0.7842873607376104,0.0,0.21571263926238954,0.0
rsi_50_or_60d,5206,0.7112946600076835,0.060435882837047705,0.04217220132795463,21.423357664233578,17.0,314629.20604967006,314.6292060496701,60.43588283704765,3.7661421934047237,263.0,263000.0,0.9408374951978487,0.0,0.059162504802151364,0.0
stop10_or_30d,5200,0.536923076923077,0.03671434073989466,0.01537242124915661,25.363653846153845,30.0,190914.5718474513,190.9145718474513,36.71434073989448,1.937972559058178,111.0,111000.0,0.0,0.26076923076923075,0.7392307692307692,0.0
rsi_50_or_stop10,5206,0.6897810218978102,0.13171866888757444,0.04293384567087122,21.656358048405686,13.0,685727.3902287128,685.7273902287128,131.7186688875745,4.913266708390636,301.0,301000.0,0.7433730311179408,0.25662696888205916,0.0,0.0
rsi_50_or_stop10_or_60d,5206,0.6459854014598541,0.04367846707646739,0.035701520827675415,16.684018440261237,13.0,227390.0996000897,227.3900996000897,43.678467076467484,2.297296443537324,90.0,90000.0,0.6995774106799846,0.25662696888205916,0.043795620437956206,0.0
