Date,Ticker,rsi,growth_future_30d,Close_x
2000-04-14,MSFT,28.59977376238364,0.8988197019905356,22.719512939453125
2000-04-24,MSFT,28.183708892349397,1.102251355083412,20.420745849609375
2000-09-14,MSFT,28.744487621104025,0.9753085964485287,20.171710968017578
2000-09-15,MSFT,24.777933256939026,0.9853942763960598,19.673643112182617
2000-09-18,MSFT,22.350677167708355,0.972221969792454,19.309669494628906
2000-09-22,MSFT,29.50112251514247,0.9535571716731264,19.386295318603516
2000-09-25,MSFT,25.091563769830465,0.9653063496991854,18.773284912109375
2000-09-27,MSFT,28.321575453314168,0.9144329679973928,18.581724166870117
2000-09-29,MSFT,29.522865679863507,0.9212438726255182,18.48594093322754
2000-10-02,MSFT,27.13250300454218,0.9164902666334916,18.121971130371094
2000-10-03,MSFT,22.83577539989406,0.964640925918795,17.336559295654297
2000-10-04,MSFT,21.245091504103982,1.005636934159774,16.991741180419922
2000-10-05,MSFT,21.156941433519787,0.9819411644064606,16.97258949279785
2000-10-06,MSFT,22.200133254357894,0.967379188984322,17.030059814453125
2000-10-09,MSFT,20.099839399288555,0.9296427470185853,16.608610153198242
2000-10-10,MSFT,22.26004833309727,0.924398255055709,16.723554611206055
2000-10-11,MSFT,28.822284756229006,0.9282510247206568,17.087522506713867
2000-10-12,MSFT,26.07738111807801,1.1379310739465232,16.66608428955078
2000-10-13,MSFT,24.915858898852562,1.2127899427095852,16.474525451660156
2000-10-16,MSFT,19.789668957572133,1.2332508816658287,15.44007396697998
2000-10-17,MSFT,20.117334939679612,1.219331170576105,15.459224700927734
2000-10-18,MSFT,26.875056764971372,1.1835748667373056,15.861510276794434
2000-12-18,MSFT,29.652390453461376,0.9803921823829514,14.654659271240234
2000-12-19,MSFT,26.837611374833998,1.0362626263257473,13.735150337219238
2000-12-20,MSFT,24.115550242212077,1.0737941722841196,12.719866752624512
2000-12-21,MSFT,28.672539267334695,0.9985615776701497,13.31370735168457
2001-09-04,MSFT,29.576743992493682,0.9431379217626042,17.194793701171875
2001-09-20,MSFT,29.955740317995378,0.9842398079076984,15.558074951171875
2001-09-21,MSFT,28.485560632895357,1.0293702714116526,15.23624324798584
2002-05-06,MSFT,28.79504458231466,1.0837101188247007,14.902156829833984
2002-07-23,MSFT,25.862388333208703,1.1183442662846186,13.182682037353516
2004-03-10,MSFT,26.70648330518007,0.9905400122918083,15.689475059509277
